#{"t_start": 1759856920.2816613, "env_id": "None"}
r,l,t
0.0,66,4.25373
1.0,81,6.506777
1.0,81,8.859033
1.0,71,10.935457
2.0,85,13.9469
2.0,105,16.950279
5.0,124,20.549546
2.0,83,22.836327
0.0,52,24.452353
3.0,100,27.344103
1.0,94,30.381078
2.0,81,32.945813
1.0,81,35.657685
1.0,81,38.190345
0.0,66,40.195045
2.0,78,42.587543
0.0,59,44.328312
2.0,111,48.144433
1.0,72,50.542472
4.0,120,53.953007
2.0,99,56.822772
0.0,66,58.89608
0.0,59,60.854519
1.0,66,62.856094
1.0,82,65.365498
1.0,75,67.551122
1.0,67,69.520937
0.0,56,71.393263
0.0,66,73.554031
1.0,104,76.424011
1.0,93,79.283532
1.0,68,81.097003
1.0,81,83.392576
2.0,89,86.075202
1.0,84,88.51824
3.0,111,91.828863
0.0,66,93.547028
4.0,107,96.865161
0.0,77,99.342008
1.0,74,101.568822
0.0,66,103.57417
2.0,84,106.073283
3.0,106,109.301975
1.0,58,111.100352
0.0,66,113.118488
1.0,68,115.062374
3.0,87,117.544327
1.0,69,119.687809
0.0,67,121.640712
2.0,97,124.37227
2.0,75,144.784716
3.0,111,147.988984
1.0,81,150.295912
1.0,100,153.336899
3.0,102,156.289483
1.0,66,158.20605
2.0,98,161.261507
1.0,92,163.989611
3.0,99,166.803864
2.0,104,169.959211
1.0,69,172.01506
5.0,127,175.71473
1.0,70,178.214354
1.0,75,180.427382
1.0,91,183.134108
6.0,119,186.7402
1.0,83,189.350759
3.0,111,192.776057
2.0,99,195.777772
2.0,60,197.470199
2.0,89,200.687276
0.0,65,202.828731
2.0,97,205.639844
3.0,101,208.879485
3.0,104,212.17794
4.0,112,215.66006
1.0,81,218.040187
3.0,109,220.848457
5.0,123,224.650711
0.0,66,226.483895
0.0,66,228.321541
0.0,66,230.449346
3.0,105,233.68696
3.0,108,237.255435
0.0,66,239.157265
3.0,119,242.623728
3.0,143,247.018924
2.0,100,249.920987
1.0,85,252.446939
4.0,108,255.431981
1.0,81,258.080271
2.0,80,260.470785
1.0,81,262.903579
0.0,57,264.473088
0.0,75,266.810348
0.0,67,285.664908
3.0,109,288.93381
1.0,87,291.4937
3.0,108,294.612059
3.0,99,297.386973
1.0,68,299.604961
3.0,102,302.562676
2.0,98,305.473598
3.0,104,308.314178
1.0,81,310.836969
3.0,114,314.202036
0.0,66,316.340379
4.0,108,319.761703
5.0,114,323.277769
3.0,107,326.29784
3.0,101,329.371722
4.0,117,332.878857
5.0,123,336.479604
1.0,81,339.107274
4.0,105,342.230962
0.0,66,344.278849
5.0,126,348.024662
3.0,107,351.150466
4.0,113,354.497896
2.0,82,356.949258
1.0,66,358.756356
4.0,103,361.862341
5.0,120,365.502144
2.0,95,368.225586
5.0,113,371.582561
3.0,102,374.580133
6.0,147,379.037793
1.0,75,381.526008
4.0,118,385.49676
3.0,108,388.897936
3.0,112,392.195899
2.0,106,395.423645
3.0,102,398.441842
3.0,100,401.114973
1.0,89,403.673476
3.0,110,407.080887
2.0,101,426.355889
4.0,113,429.84202
5.0,119,433.693014
4.0,111,437.190789
1.0,87,439.744611
1.0,89,442.714175
4.0,117,446.593188
1.0,82,449.422197
3.0,124,453.389828
1.0,103,457.191014
1.0,93,459.897763
1.0,67,461.850873
5.0,113,465.32489
1.0,70,467.661624
0.0,66,469.61058
0.0,66,471.682008
5.0,109,474.931767
6.0,132,479.210165
2.0,70,481.340737
4.0,106,484.510736
2.0,103,487.858182
4.0,119,492.30522
2.0,82,495.034321
4.0,109,498.518897
3.0,107,502.167996
3.0,105,505.516652
4.0,108,509.256176
1.0,82,511.923856
2.0,82,514.541036
4.0,126,518.217465
3.0,108,521.918156
4.0,108,525.235583
3.0,103,528.50193
3.0,117,532.133077
1.0,82,534.300541
3.0,102,537.323793
1.0,72,539.7605
2.0,83,542.630422
1.0,71,544.818974
2.0,82,547.391184
5.0,117,550.821895
3.0,105,570.06548
3.0,109,573.557851
4.0,110,577.238497
3.0,108,580.417859
3.0,101,583.873752
2.0,72,586.189715
1.0,83,588.693102
2.0,94,591.652355
4.0,105,594.802959
3.0,93,597.765888
2.0,110,601.224674
5.0,124,604.75819
4.0,133,608.560517
1.0,89,611.341621
4.0,116,615.153917
1.0,71,617.467244
1.0,82,619.93452
2.0,82,622.461355
6.0,142,627.429969
3.0,94,630.080016
7.0,120,633.444976
5.0,139,637.302764
8.0,133,641.246654
5.0,111,644.449244
2.0,92,646.900444
5.0,118,650.292329
2.0,99,653.127791
1.0,79,655.709852
2.0,82,658.10036
3.0,102,661.029933
2.0,91,663.636525
4.0,114,667.033515
1.0,84,669.391798
2.0,82,671.776653
2.0,102,674.829923
6.0,132,678.706527
3.0,114,681.832294
4.0,113,684.907332
3.0,109,688.234591
7.0,155,711.193253
5.0,106,714.578007
4.0,111,717.646271
10.0,173,722.949901
4.0,101,725.872995
2.0,101,728.897434
2.0,88,731.320966
7.0,129,735.122698
7.0,176,740.034943
2.0,89,742.390934
7.0,159,747.014771
2.0,104,750.242701
3.0,109,753.42502
2.0,97,756.096184
4.0,111,759.294912
4.0,105,762.196661
6.0,128,766.116628
7.0,161,770.462766
3.0,82,772.802836
5.0,122,776.345262
2.0,88,778.967372
2.0,90,781.332181
3.0,122,784.963613
5.0,109,788.536913
1.0,90,791.146019
8.0,161,795.920907
0.0,66,797.953497
2.0,65,799.907886
4.0,103,802.928929
5.0,130,806.456818
1.0,89,809.279799
3.0,110,812.58569
4.0,104,815.739039
2.0,86,818.351714
1.0,82,821.017766
1.0,84,823.822119
6.0,136,827.64143
6.0,135,850.053962
0.0,66,852.265818
1.0,82,854.640822
2.0,87,857.246826
1.0,59,858.963847
3.0,98,861.880359
2.0,87,864.487281
5.0,115,868.166955
5.0,98,871.024805
7.0,168,875.864326
2.0,108,879.467323
9.0,167,883.784986
5.0,109,887.171997
2.0,92,889.90878
3.0,103,893.059592
2.0,107,896.689238
8.0,146,901.208869
4.0,116,904.716234
4.0,110,907.80888
3.0,82,910.169101
1.0,97,913.055971
2.0,89,915.949427
5.0,119,919.621292
1.0,75,921.643096
7.0,127,925.520218
3.0,102,928.631266
6.0,136,932.93379
5.0,101,935.868317
3.0,82,938.370182
1.0,82,940.705278
8.0,186,946.337621
2.0,81,948.635206
4.0,117,952.296189
6.0,127,956.024028
9.0,200,962.243016
6.0,120,965.57833
1.0,91,968.308574
3.0,107,971.532994
2.0,65,991.966398
2.0,86,994.554614
0.0,61,996.349844
8.0,191,1001.886626
8.0,205,1008.051633
8.0,174,1013.649368
2.0,82,1016.011367
6.0,119,1019.40444
2.0,96,1022.194757
4.0,108,1025.482253
8.0,185,1030.811346
2.0,82,1033.284342
2.0,108,1036.543114
3.0,107,1040.020115
4.0,113,1043.804896
7.0,164,1048.686406
5.0,133,1052.461801
5.0,121,1056.523022
5.0,125,1060.199495
6.0,148,1064.71037
7.0,137,1068.690365
7.0,148,1073.134355
3.0,101,1076.100124
6.0,121,1079.473838
7.0,190,1085.453914
7.0,147,1090.073997
8.0,182,1095.317588
7.0,174,1100.63173
5.0,122,1104.082545
7.0,133,1108.156703
5.0,118,1111.73356
7.0,192,1136.625666
5.0,124,1139.829152
2.0,69,1141.870711
1.0,62,1143.722616
5.0,113,1147.096583
5.0,98,1150.10203
1.0,77,1152.629602
4.0,115,1156.235624
3.0,102,1159.383287
2.0,96,1162.549307
7.0,183,1167.861508
8.0,178,1173.168343
7.0,155,1177.506685
5.0,113,1180.884567
4.0,116,1184.379946
8.0,155,1188.739863
4.0,113,1191.941513
5.0,126,1195.569718
8.0,162,1200.316881
4.0,99,1203.392774
9.0,213,1209.515301
7.0,145,1213.852369
4.0,110,1217.287861
4.0,109,1220.530282
2.0,90,1223.510536
7.0,137,1227.815159
5.0,112,1231.009751
6.0,123,1234.610845
10.0,189,1240.453363
8.0,164,1245.49546
6.0,135,1249.028422
6.0,127,1252.510235
4.0,104,1274.674409
4.0,116,1278.475616
5.0,105,1281.516769
8.0,159,1286.170353
8.0,148,1290.137477
5.0,127,1293.835248
10.0,209,1299.925668
5.0,132,1303.721179
6.0,116,1306.927744
7.0,127,1310.694901
2.0,82,1313.064384
2.0,82,1315.547942
4.0,79,1317.735648
7.0,186,1322.993064
4.0,108,1326.178424
9.0,176,1331.65459
6.0,128,1335.562805
3.0,96,1338.616409
8.0,169,1343.517201
3.0,111,1346.712848
7.0,133,1350.92543
6.0,130,1355.1166
6.0,124,1358.843283
7.0,174,1364.046925
4.0,124,1368.037243
5.0,100,1370.980531
4.0,113,1374.480678
7.0,180,1379.993183
7.0,167,1385.171984
8.0,197,1391.360408
4.0,107,1394.331964
4.0,113,1416.958171
9.0,228,1423.841948
4.0,115,1427.285223
5.0,116,1430.357881
5.0,109,1433.786999
5.0,101,1436.41034
8.0,159,1440.923361
6.0,132,1444.720639
6.0,118,1448.385318
6.0,143,1452.648726
4.0,118,1456.305254
6.0,108,1459.658507
6.0,154,1464.061623
9.0,176,1469.292125
5.0,118,1473.06865
5.0,112,1476.787538
8.0,150,1480.990544
6.0,126,1484.664182
4.0,106,1487.882352
5.0,130,1491.84266
7.0,163,1496.412902
4.0,107,1499.684446
7.0,172,1504.968607
4.0,121,1508.666713
6.0,122,1512.340794
3.0,102,1515.540019
7.0,193,1521.258038
4.0,107,1524.341451
5.0,112,1527.714736
8.0,175,1533.174934
2.0,82,1535.673004
4.0,114,1558.177587
11.0,223,1564.892823
6.0,100,1567.788193
7.0,211,1574.068162
6.0,83,1576.424619
4.0,98,1579.503009
9.0,187,1584.773607
4.0,94,1587.681773
8.0,184,1593.142383
12.0,230,1599.96804
7.0,130,1603.881155
8.0,174,1608.958724
8.0,184,1614.844591
11.0,184,1620.389157
7.0,194,1625.745401
9.0,184,1630.85761
4.0,83,1633.273622
9.0,196,1638.98341
13.0,208,1644.88454
9.0,145,1649.111567
3.0,100,1652.305892
10.0,194,1658.20038
3.0,116,1661.738648
9.0,211,1668.422012
8.0,169,1673.285731
4.0,107,1676.721452
9.0,183,1702.793133
4.0,83,1705.257013
4.0,98,1708.236801
8.0,170,1712.863663
7.0,116,1716.187953
7.0,137,1720.273986
4.0,108,1723.441947
7.0,134,1727.226603
8.0,161,1732.109888
9.0,208,1738.362694
6.0,135,1741.907099
8.0,188,1747.310752
8.0,152,1751.589045
6.0,111,1754.894275
10.0,211,1761.36102
8.0,186,1766.917009
9.0,169,1772.200313
10.0,206,1778.116624
7.0,140,1782.092096
6.0,103,1785.314119
8.0,181,1790.629756
8.0,161,1795.192855
9.0,172,1800.014546
6.0,128,1804.169436
7.0,109,1807.414107
8.0,159,1811.993312
9.0,161,1816.852959
8.0,171,1841.666061
11.0,188,1847.586191
6.0,115,1851.175096
6.0,128,1855.05273
10.0,177,1860.345464
7.0,145,1864.476083
10.0,194,1870.292515
8.0,168,1875.006453
7.0,133,1878.872184
7.0,127,1882.448589
10.0,189,1888.312326
9.0,166,1893.086699
9.0,163,1897.78456
7.0,197,1903.53719
10.0,211,1909.517509
7.0,135,1913.618219
9.0,199,1920.175023
7.0,163,1925.216574
6.0,122,1929.140844
9.0,166,1934.051185
10.0,204,1940.387578
9.0,160,1945.19963
8.0,154,1949.197955
7.0,163,1954.10361
6.0,112,1957.382727
8.0,167,1982.689574
7.0,108,1985.609971
8.0,135,1989.369129
8.0,191,1994.643672
7.0,117,1998.204139
11.0,168,2003.261147
8.0,128,2007.444098
9.0,174,2012.437695
12.0,207,2018.773745
9.0,161,2023.796804
9.0,192,2029.963802
4.0,103,2033.264422
9.0,168,2039.031905
4.0,102,2042.204667
9.0,186,2047.99022
10.0,238,2055.477795
7.0,191,2062.093773
4.0,91,2065.119853
8.0,177,2070.426453
8.0,183,2076.122698
9.0,189,2082.158648
10.0,190,2087.735687
4.0,102,2090.738229
4.0,107,2094.391582
9.0,171,2099.974368
8.0,167,2104.909732
7.0,117,2108.599354
6.0,134,2132.290361
7.0,149,2136.656202
8.0,165,2141.435903
9.0,161,2145.940539
9.0,195,2151.5956
9.0,198,2158.049
4.0,111,2161.886469
10.0,187,2167.248517
7.0,142,2171.758093
7.0,159,2176.54086
10.0,182,2182.062134
9.0,155,2186.378357
7.0,149,2190.95495
8.0,154,2196.163703
8.0,160,2200.840138
10.0,194,2206.495974
7.0,117,2210.009632
8.0,171,2215.035561
9.0,194,2221.173442
8.0,138,2225.208637
10.0,179,2230.511082
7.0,134,2234.584972
7.0,116,2238.15677
9.0,192,2243.589658
7.0,163,2248.738786
6.0,137,2273.608723
9.0,193,2279.299786
12.0,210,2285.890931
7.0,154,2290.362296
7.0,118,2293.668054
8.0,122,2297.19253
10.0,178,2302.576978
10.0,212,2309.083696
11.0,193,2314.985354
9.0,193,2321.099105
6.0,135,2325.267125
9.0,194,2331.38181
9.0,180,2337.118419
9.0,193,2342.794791
8.0,168,2347.740355
9.0,169,2352.657347
12.0,215,2358.574198
7.0,122,2362.164653
11.0,200,2368.005725
7.0,118,2371.718622
8.0,188,2377.176118
13.0,211,2383.628973
10.0,205,2389.565947
11.0,171,2394.750087
9.0,185,2420.47891
9.0,176,2425.029327
10.0,169,2429.740814
6.0,107,2432.81087
10.0,186,2437.608447
8.0,138,2441.317402
8.0,173,2446.428912
10.0,151,2451.00746
9.0,178,2456.393284
7.0,117,2460.04196
8.0,159,2464.933426
12.0,185,2470.632341
9.0,184,2476.241028
8.0,167,2481.016135
10.0,195,2487.057452
10.0,173,2492.215025
12.0,210,2498.612508
8.0,158,2503.325337
8.0,163,2508.510304
6.0,115,2512.104151
12.0,176,2517.572806
10.0,206,2524.258489
6.0,112,2527.975072
9.0,171,2533.361975
9.0,182,2559.178899
8.0,156,2563.091424
8.0,174,2567.788124
7.0,141,2571.792387
5.0,112,2575.020904
10.0,189,2580.037446
7.0,119,2583.829731
7.0,138,2587.66937
10.0,178,2593.28616
8.0,144,2597.776312
11.0,202,2603.837534
9.0,169,2608.687354
9.0,191,2614.158847
8.0,162,2619.272497
8.0,165,2624.337105
9.0,194,2630.294448
8.0,168,2635.245625
7.0,139,2639.299593
8.0,156,2643.714076
7.0,128,2647.200632
9.0,137,2650.963171
7.0,127,2655.001847
9.0,160,2659.847862
10.0,160,2664.51681
10.0,205,2670.520758
7.0,122,2674.419034
9.0,186,2700.090057
7.0,148,2704.283078
10.0,176,2709.189087
9.0,162,2714.157669
4.0,107,2717.437949
8.0,135,2721.612525
13.0,204,2727.455624
6.0,121,2730.846122
10.0,206,2737.091228
8.0,189,2742.783636
10.0,169,2747.694917
10.0,162,2752.65122
9.0,163,2757.96955
9.0,175,2763.011749
10.0,181,2768.256233
6.0,110,2771.575957
8.0,162,2776.404331
7.0,135,2780.450776
8.0,121,2784.17809
7.0,116,2787.918731
8.0,138,2791.932075
8.0,164,2797.028314
9.0,200,2803.057949
9.0,215,2809.656322
7.0,107,2813.018663
11.0,184,2818.577109
11.0,174,2844.658489
9.0,158,2849.275645
8.0,163,2854.024422
6.0,97,2857.156842
8.0,166,2862.056206
11.0,222,2868.62786
9.0,183,2873.897339
9.0,141,2878.227554
10.0,172,2883.345764
10.0,167,2888.009913
5.0,98,2890.933046
10.0,182,2895.987551
10.0,161,2900.843209
7.0,132,2904.974499
7.0,133,2908.780214
9.0,170,2914.214879
10.0,182,2919.831347
11.0,171,2924.907603
6.0,103,2928.218052
8.0,144,2932.547132
9.0,173,2938.007423
8.0,120,2941.621698
11.0,191,2947.661879
9.0,191,2953.571474
9.0,159,2958.103055
10.0,169,2962.942762
8.0,189,2989.447883
8.0,159,2993.881811
10.0,182,2999.169764
10.0,188,3004.77274
11.0,202,3011.069076
7.0,116,3014.833723
10.0,172,3020.264927
11.0,188,3025.979202
12.0,212,3031.943161
12.0,196,3036.983466
7.0,97,3039.549898
13.0,175,3044.654889
10.0,208,3050.640234
10.0,187,3056.212461
11.0,177,3061.11691
12.0,204,3067.078346
9.0,190,3072.656987
9.0,165,3077.456577
7.0,112,3080.563561
11.0,201,3086.65508
8.0,119,3090.133203
9.0,157,3094.810899
9.0,166,3100.035577
9.0,159,3104.494711
8.0,133,3129.404379
8.0,186,3134.204243
12.0,210,3140.275808
9.0,195,3146.187946
10.0,201,3152.48624
13.0,206,3158.420275
10.0,182,3163.229534
11.0,179,3168.80751
9.0,201,3174.755176
8.0,165,3179.930228
8.0,130,3183.687761
10.0,191,3189.173708
7.0,106,3192.110672
8.0,134,3196.081324
11.0,180,3201.613981
10.0,151,3206.063669
7.0,137,3210.027294
8.0,177,3215.339543
9.0,183,3220.38343
8.0,168,3225.230115
10.0,170,3230.09076
11.0,184,3235.603528
10.0,178,3240.882922
10.0,173,3245.834591
13.0,172,3271.100524
12.0,178,3276.276023
10.0,181,3281.686628
13.0,215,3288.248013
12.0,169,3293.490507
10.0,182,3298.863034
11.0,185,3304.681991
11.0,185,3310.582451
13.0,175,3315.835695
15.0,214,3322.177888
13.0,206,3328.580316
9.0,179,3333.867589
10.0,200,3339.614352
12.0,220,3346.307151
13.0,212,3352.135201
14.0,237,3359.512173
12.0,198,3365.118638
10.0,170,3369.980152
11.0,195,3375.907267
12.0,180,3381.314129
10.0,183,3386.63878
11.0,165,3412.480523
13.0,224,3418.994868
10.0,177,3424.131151
8.0,175,3428.827634
11.0,184,3434.290267
10.0,181,3439.505613
8.0,138,3443.792701
10.0,176,3448.948554
13.0,221,3455.42668
11.0,179,3460.856252
9.0,161,3465.667901
13.0,204,3471.719074
10.0,184,3477.030091
11.0,198,3482.559441
7.0,120,3486.005538
12.0,188,3491.584913
11.0,227,3498.681407
9.0,140,3502.800431
8.0,140,3506.951862
7.0,112,3510.172918
9.0,161,3514.934521
13.0,208,3520.937759
11.0,185,3526.593752
